,Time,Size of Ads ,words of content,Treated,After,Interaction ,Unnamed: 6,Unnamed: 7,TimeManawatu,Manawatu Ads treated,Manawatu Words of content,Unnamed: 11,Weekender Treated,Weekender Ads Treated,Weekender words,Unnamed: 15,Time Hasting,Hasting Ads Treated,Hasting words ,Unnamed: 19,Unnamed: 20,Unnamed: 21,TimeNapvier,Napver Ads treated,Napier words of content,Unnamed: 25,Time Katikati,Katikati Ads control ,Katikati  words,Unnamed: 29,Time Hamilton,Hamilton ads control,Hamilton words,Unnamed: 33,Time Costal news control,Costal control ads,Costal news WORDS,Unnamed: 37,Time Whanganui control,Whanganui Ads control,Whanganui words
39,20180815,0.729583333333333,7870,1,1,1,,,20180816,0.7245,6499.0,,20180824.0,0.626168797953964,11244.0,,20180815.0,0.672778,13612.0,,,,20180815,0.729583333333333,7870.0,,20180802.0,0.750606060606061,8503.0,,20180824.0,0.783333333333333,13541.0,,20180802.0,0.610952380952381,8503.0,,20180822.0,0.585714285714286,9779.0
40,20180822,0.804,5949,1,1,1,,,20180823,0.720357142857143,6362.0,,20180831.0,0.647764705882353,18567.0,,20180822.0,0.639,6914.0,,,,20180822,0.804,5949.0,,20180809.0,0.786111111111111,10483.0,,20180831.0,0.763125,14901.0,,20180809.0,0.724705882352941,10483.0,,20180829.0,0.7325,15457.0
41,20180829,0.82,5528,1,1,1,,,20180830,0.7725,4659.0,,20180907.0,0.589544757033248,13094.0,,20180829.0,0.582222,12034.0,,,,20180829,0.82,5528.0,,20180816.0,0.74625,10015.0,,20180907.0,0.775,11497.0,,20180816.0,4.49647058823529,10015.0,,20180905.0,0.547083333333333,9375.0
42,20180905,0.6625,10872,1,1,1,,,20180906,0.8025,4637.0,,20180914.0,0.64544537815126,10413.0,,20180905.0,0.6365,10832.0,,,,20180905,0.6625,10872.0,,20180823.0,0.76675,10494.0,,20180914.0,0.738125,13338.0,,20180823.0,0.694117647058824,10494.0,,20180912.0,0.599166666666667,14535.0
43,20180912,0.67375,8901,1,1,1,,,20180913,0.75,6495.0,,20180921.0,0.55093137254902,14228.0,,20180912.0,0.5755,11597.0,,,,20180912,0.67375,8901.0,,20180830.0,0.739444444444444,12136.0,,20180921.0,0.7265625,10328.0,,20180830.0,0.713529411764706,12136.0,,20180919.0,0.608235294117647,9891.0
44,20180919,0.710416666666667,10860,1,1,1,,,20180920,0.794285714285714,4708.0,,20180928.0,0.657576470588235,9181.0,,20180919.0,0.65625,12977.0,,,,20180919,0.710416666666667,10860.0,,20180906.0,0.7084375,10369.0,,20180928.0,0.7875,9240.0,,20180906.0,0.721052631578947,10369.0,,20180926.0,0.609333333333333,14571.0
45,20180926,0.746428571428571,10411,1,1,1,,,20180927,0.7752,5489.0,,20181005.0,0.667573529411765,11523.0,,20180926.0,0.6165,9747.0,,,,20180926,0.746428571428571,10411.0,,20180913.0,0.6928125,11277.0,,20181005.0,0.742105263157895,11633.0,,20180913.0,0.703529411764706,11277.0,,20181003.0,0.610769230769231,4977.0
46,20181003,0.6525,8158,1,1,1,,,20181004,0.55375,8515.0,,20181012.0,0.622552941176471,11632.0,,20181003.0,0.509474,11371.0,,,,20181003,0.6525,8158.0,,20180920.0,0.6541,12353.0,,20181012.0,0.727222222222222,13208.0,,20180920.0,0.791176470588235,12353.0,,20181010.0,0.65,9826.0
47,20181010,0.567857142857143,13232,1,1,1,,,20181011,0.57825,8488.0,,20181019.0,0.636325791855204,11268.0,,20181010.0,0.6155,8682.0,,,,20181010,0.567857142857143,13232.0,,20180927.0,0.754857142857143,12588.0,,20181019.0,0.7655,17058.0,,20180927.0,0.751428571428571,12588.0,,20181017.0,0.6540625,8841.0
48,20181017,0.690625,13048,1,1,1,,,20181018,0.668181818181818,4768.0,,20181026.0,0.66578431372549,9792.0,,20181017.0,0.7312,10355.0,,,,20181017,0.690625,13048.0,,20181004.0,0.697222222222222,13828.0,,20181026.0,0.8,11585.0,,20181004.0,0.747619047619048,13828.0,,20181024.0,0.618333333333333,11695.0
49,20181024,0.6775,6196,1,1,1,,,20181025,0.7540625,6171.0,,20181102.0,0.593725490196078,12103.0,,20181024.0,0.6325,9938.0,,,,20181024,0.6775,6196.0,,20181011.0,0.730125,10113.0,,20181102.0,0.7453125,12409.0,,20181011.0,0.708076923076923,10113.0,,20181031.0,0.636875,9695.0
50,20181031,0.711785714285714,11058,1,1,1,,,20181101,0.708333333333333,4860.0,,20181109.0,0.564995475113122,12619.0,,20181031.0,0.5625,8141.0,,,,20181031,0.711785714285714,11058.0,,20181018.0,0.67575,11104.0,,20181109.0,0.765625,13336.0,,20181018.0,0.8375,11104.0,,20181107.0,0.616538461538462,15871.0
51,20181107,0.670833333333333,16096,1,1,1,,,20181108,0.6934375,11214.0,,20181116.0,0.718908235294118,14703.0,,20181107.0,0.5555,11702.0,,,,20181107,0.670833333333333,16096.0,,20181025.0,0.736875,9180.0,,20181116.0,0.7134375,14056.0,,20181025.0,0.753333333333333,9180.0,,20181114.0,0.560555555555556,15846.0
52,20181114,0.78030303030303,9543,1,1,1,,,20181115,0.745789473684211,4831.0,,20181123.0,0.646857142857143,10202.0,,20181114.0,0.735,8911.0,,,,20181114,0.78030303030303,9543.0,,20181101.0,0.705,9548.0,,20181123.0,0.720277777777778,14039.0,,20181101.0,0.716666666666667,9548.0,,20181121.0,0.6545,12459.0
53,20181121,0.752777777777778,13147,1,1,1,,,20181122,0.773333333333333,7175.0,,20181130.0,0.58573630831643,12469.0,,20181121.0,0.695833,9496.0,,,,20181121,0.752777777777778,13147.0,,20181108.0,0.6375,18511.0,,20181130.0,0.7603125,10157.0,,20181108.0,0.7064,18511.0,,20181128.0,0.630227272727273,14939.0
54,20181128,0.720277777777778,15230,1,1,1,,,20181129,0.724137931034483,9310.0,,,,,,20181128.0,0.6575,7754.0,,,,20181128,0.720277777777778,15230.0,,20181115.0,0.715125,10537.0,,,,,,20181115.0,0.7612,10537.0,,,,
55,20171102,0.652413793103448,9162,1,0,0,,,,,,,,,,,,,,,,,,,,,20181122.0,0.723875,13769.0,,,,,,20181122.0,0.796666666666667,13769.0,,,,
56,2017.11.9,0.811136363636364,7556,1,0,0,,,,,,,,,,,,,,,,,,,,,20181129.0,0.710277777777778,10279.0,,,,,,20180729.0,0.775238095238095,10279.0,,,,
57,20171116,0.73,5128,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,20171123,0.688571428571429,7869,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,20171130,0.691785714285714,7818,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,20171207,0.684642857142857,7835,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,20171214,0.76304347826087,6586,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
